dock.id,file.name.ligand.pdbqt,file.name.flex.pdbqt,winner,receptor,ligand.name,ligand.name.index,ligand.type,rotation,binding.mode,buried,measure.type,measure.value
6,SPLIT_RPE65_emixustat/split_RPE65_xq7_chainB_emixustat_ligand_mode_1.pdbqt,SPLIT_RPE65_emixustat/split_RPE65_xq7_chainB_emixustat_flex_mode_1.pdbqt,FALSE,RPE65,xq7_chainB_emixustat,2,emixustat,2,1,amine.N,distance.landmark,5.67461329078908
7,SPLIT_RPE65_emixustat/split_RPE65_xq7_chainB_emixustat_ligand_mode_2.pdbqt,SPLIT_RPE65_emixustat/split_RPE65_xq7_chainB_emixustat_flex_mode_2.pdbqt,FALSE,RPE65,xq7_chainB_emixustat,2,emixustat,2,2,amine.N,Binding.Energy.Score.Only,-9.472
7,SPLIT_RPE65_emixustat/split_RPE65_xq7_chainB_emixustat_ligand_mode_2.pdbqt,SPLIT_RPE65_emixustat/split_RPE65_xq7_chainB_emixustat_flex_mode_2.pdbqt,FALSE,RPE65,xq7_chainB_emixustat,2,emixustat,2,2,amine.N,Ligand.Internal.Energy,0
7,SPLIT_RPE65_emixustat/split_RPE65_xq7_chainB_emixustat_ligand_mode_2.pdbqt,SPLIT_RPE65_emixustat/split_RPE65_xq7_chainB_emixustat_flex_mode_2.pdbqt,FALSE,RPE65,xq7_chainB_emixustat,2,emixustat,2,2,amine.N,Binding.Energy.Vina,-9.296
7,SPLIT_RPE65_emixustat/split_RPE65_xq7_chainB_emixustat_ligand_mode_2.pdbqt,SPLIT_RPE65_emixustat/split_RPE65_xq7_chainB_emixustat_flex_mode_2.pdbqt,FALSE,RPE65,xq7_chainB_emixustat,2,emixustat,2,2,amine.N,Binding.Energy.Difference,-0.176
7,SPLIT_RPE65_emixustat/split_RPE65_xq7_chainB_emixustat_ligand_mode_2.pdbqt,SPLIT_RPE65_emixustat/split_RPE65_xq7_chainB_emixustat_flex_mode_2.pdbqt,FALSE,RPE65,xq7_chainB_emixustat,2,emixustat,2,2,amine.N,distance.landmark,14.5925734879082
8,SPLIT_RPE65_emixustat/split_RPE65_xq7_chainB_emixustat_ligand_mode_3.pdbqt,SPLIT_RPE65_emixustat/split_RPE65_xq7_chainB_emixustat_flex_mode_3.pdbqt,FALSE,RPE65,xq7_chainB_emixustat,2,emixustat,2,3,amine.N,Binding.Energy.Score.Only,-8.601
8,SPLIT_RPE65_emixustat/split_RPE65_xq7_chainB_emixustat_ligand_mode_3.pdbqt,SPLIT_RPE65_emixustat/split_RPE65_xq7_chainB_emixustat_flex_mode_3.pdbqt,FALSE,RPE65,xq7_chainB_emixustat,2,emixustat,2,3,amine.N,Ligand.Internal.Energy,0
8,SPLIT_RPE65_emixustat/split_RPE65_xq7_chainB_emixustat_ligand_mode_3.pdbqt,SPLIT_RPE65_emixustat/split_RPE65_xq7_chainB_emixustat_flex_mode_3.pdbqt,FALSE,RPE65,xq7_chainB_emixustat,2,emixustat,2,3,amine.N,Binding.Energy.Vina,-8.739
8,SPLIT_RPE65_emixustat/split_RPE65_xq7_chainB_emixustat_ligand_mode_3.pdbqt,SPLIT_RPE65_emixustat/split_RPE65_xq7_chainB_emixustat_flex_mode_3.pdbqt,FALSE,RPE65,xq7_chainB_emixustat,2,emixustat,2,3,amine.N,Binding.Energy.Difference,0.138
8,SPLIT_RPE65_emixustat/split_RPE65_xq7_chainB_emixustat_ligand_mode_3.pdbqt,SPLIT_RPE65_emixustat/split_RPE65_xq7_chainB_emixustat_flex_mode_3.pdbqt,FALSE,RPE65,xq7_chainB_emixustat,2,emixustat,2,3,amine.N,distance.landmark,20.1215269052823
9,SPLIT_RPE65_emixustat/split_RPE65_xq7_chainB_emixustat_ligand_mode_4.pdbqt,SPLIT_RPE65_emixustat/split_RPE65_xq7_chainB_emixustat_flex_mode_4.pdbqt,FALSE,RPE65,xq7_chainB_emixustat,2,emixustat,2,4,amine.N,Binding.Energy.Score.Only,-8.45
9,SPLIT_RPE65_emixustat/split_RPE65_xq7_chainB_emixustat_ligand_mode_4.pdbqt,SPLIT_RPE65_emixustat/split_RPE65_xq7_chainB_emixustat_flex_mode_4.pdbqt,FALSE,RPE65,xq7_chainB_emixustat,2,emixustat,2,4,amine.N,Ligand.Internal.Energy,0
9,SPLIT_RPE65_emixustat/split_RPE65_xq7_chainB_emixustat_ligand_mode_4.pdbqt,SPLIT_RPE65_emixustat/split_RPE65_xq7_chainB_emixustat_flex_mode_4.pdbqt,FALSE,RPE65,xq7_chainB_emixustat,2,emixustat,2,4,amine.N,Binding.Energy.Vina,-8.538
9,SPLIT_RPE65_emixustat/split_RPE65_xq7_chainB_emixustat_ligand_mode_4.pdbqt,SPLIT_RPE65_emixustat/split_RPE65_xq7_chainB_emixustat_flex_mode_4.pdbqt,FALSE,RPE65,xq7_chainB_emixustat,2,emixustat,2,4,amine.N,Binding.Energy.Difference,0.088000000000001
9,SPLIT_RPE65_emixustat/split_RPE65_xq7_chainB_emixustat_ligand_mode_4.pdbqt,SPLIT_RPE65_emixustat/split_RPE65_xq7_chainB_emixustat_flex_mode_4.pdbqt,FALSE,RPE65,xq7_chainB_emixustat,2,emixustat,2,4,amine.N,distance.landmark,14.6440798276983
10,SPLIT_RPE65_emixustat/split_RPE65_xq7_chainB_emixustat_ligand_mode_5.pdbqt,SPLIT_RPE65_emixustat/split_RPE65_xq7_chainB_emixustat_flex_mode_5.pdbqt,FALSE,RPE65,xq7_chainB_emixustat,2,emixustat,2,5,amine.N,Binding.Energy.Score.Only,-8.236
10,SPLIT_RPE65_emixustat/split_RPE65_xq7_chainB_emixustat_ligand_mode_5.pdbqt,SPLIT_RPE65_emixustat/split_RPE65_xq7_chainB_emixustat_flex_mode_5.pdbqt,FALSE,RPE65,xq7_chainB_emixustat,2,emixustat,2,5,amine.N,Ligand.Internal.Energy,0
10,SPLIT_RPE65_emixustat/split_RPE65_xq7_chainB_emixustat_ligand_mode_5.pdbqt,SPLIT_RPE65_emixustat/split_RPE65_xq7_chainB_emixustat_flex_mode_5.pdbqt,FALSE,RPE65,xq7_chainB_emixustat,2,emixustat,2,5,amine.N,Binding.Energy.Vina,-8.406
10,SPLIT_RPE65_emixustat/split_RPE65_xq7_chainB_emixustat_ligand_mode_5.pdbqt,SPLIT_RPE65_emixustat/split_RPE65_xq7_chainB_emixustat_flex_mode_5.pdbqt,FALSE,RPE65,xq7_chainB_emixustat,2,emixustat,2,5,amine.N,Binding.Energy.Difference,0.17
10,SPLIT_RPE65_emixustat/split_RPE65_xq7_chainB_emixustat_ligand_mode_5.pdbqt,SPLIT_RPE65_emixustat/split_RPE65_xq7_chainB_emixustat_flex_mode_5.pdbqt,FALSE,RPE65,xq7_chainB_emixustat,2,emixustat,2,5,amine.N,distance.landmark,11.2844317535266
11,SPLIT_RPE65_STQ2/split_RPE65_1rwt_A0620_dietaryluteinligand_stq2_ligand_mode_1.pdbqt,SPLIT_RPE65_STQ2/split_RPE65_1rwt_A0620_dietaryluteinligand_stq2_flex_mode_1.pdbqt,FALSE,RPE65,1rwt_A0620_dietaryluteinligand_stq2,1,STQ2,2,1,beta.O3,Binding.Energy.Score.Only,-7.402
11,SPLIT_RPE65_STQ2/split_RPE65_1rwt_A0620_dietaryluteinligand_stq2_ligand_mode_1.pdbqt,SPLIT_RPE65_STQ2/split_RPE65_1rwt_A0620_dietaryluteinligand_stq2_flex_mode_1.pdbqt,FALSE,RPE65,1rwt_A0620_dietaryluteinligand_stq2,1,STQ2,2,1,beta.O3,Ligand.Internal.Energy,0
11,SPLIT_RPE65_STQ2/split_RPE65_1rwt_A0620_dietaryluteinligand_stq2_ligand_mode_1.pdbqt,SPLIT_RPE65_STQ2/split_RPE65_1rwt_A0620_dietaryluteinligand_stq2_flex_mode_1.pdbqt,FALSE,RPE65,1rwt_A0620_dietaryluteinligand_stq2,1,STQ2,2,1,beta.O3,Binding.Energy.Vina,-6.518
11,SPLIT_RPE65_STQ2/split_RPE65_1rwt_A0620_dietaryluteinligand_stq2_ligand_mode_1.pdbqt,SPLIT_RPE65_STQ2/split_RPE65_1rwt_A0620_dietaryluteinligand_stq2_flex_mode_1.pdbqt,FALSE,RPE65,1rwt_A0620_dietaryluteinligand_stq2,1,STQ2,2,1,beta.O3,Binding.Energy.Difference,-0.884
11,SPLIT_RPE65_STQ2/split_RPE65_1rwt_A0620_dietaryluteinligand_stq2_ligand_mode_1.pdbqt,SPLIT_RPE65_STQ2/split_RPE65_1rwt_A0620_dietaryluteinligand_stq2_flex_mode_1.pdbqt,FALSE,RPE65,1rwt_A0620_dietaryluteinligand_stq2,1,STQ2,2,1,beta.O3,torsion.c6c7,-102.335662525565
11,SPLIT_RPE65_STQ2/split_RPE65_1rwt_A0620_dietaryluteinligand_stq2_ligand_mode_1.pdbqt,SPLIT_RPE65_STQ2/split_RPE65_1rwt_A0620_dietaryluteinligand_stq2_flex_mode_1.pdbqt,FALSE,RPE65,1rwt_A0620_dietaryluteinligand_stq2,1,STQ2,2,1,beta.O3,torsion.c26c27,-112.173369574779
11,SPLIT_RPE65_STQ2/split_RPE65_1rwt_A0620_dietaryluteinligand_stq2_ligand_mode_1.pdbqt,SPLIT_RPE65_STQ2/split_RPE65_1rwt_A0620_dietaryluteinligand_stq2_flex_mode_1.pdbqt,FALSE,RPE65,1rwt_A0620_dietaryluteinligand_stq2,1,STQ2,2,1,beta.O3,distance.landmark,4.3815966268017
11,SPLIT_RPE65_STQ2/split_RPE65_1rwt_A0620_dietaryluteinligand_stq2_ligand_mode_1.pdbqt,SPLIT_RPE65_STQ2/split_RPE65_1rwt_A0620_dietaryluteinligand_stq2_flex_mode_1.pdbqt,FALSE,RPE65,1rwt_A0620_dietaryluteinligand_stq2,1,STQ2,2,1,beta.O3,distance.HH.C24,22.9109229189922
11,SPLIT_RPE65_STQ2/split_RPE65_1rwt_A0620_dietaryluteinligand_stq2_ligand_mode_1.pdbqt,SPLIT_RPE65_STQ2/split_RPE65_1rwt_A0620_dietaryluteinligand_stq2_flex_mode_1.pdbqt,FALSE,RPE65,1rwt_A0620_dietaryluteinligand_stq2,1,STQ2,2,1,beta.O3,distance.HH.C26,20.5529593246325
12,SPLIT_RPE65_STQ2/split_RPE65_1rwt_A0620_dietaryluteinligand_stq2_ligand_mode_2.pdbqt,SPLIT_RPE65_STQ2/split_RPE65_1rwt_A0620_dietaryluteinligand_stq2_flex_mode_2.pdbqt,FALSE,RPE65,1rwt_A0620_dietaryluteinligand_stq2,1,STQ2,2,2,beta.O3,Binding.Energy.Score.Only,-9.857
12,SPLIT_RPE65_STQ2/split_RPE65_1rwt_A0620_dietaryluteinligand_stq2_ligand_mode_2.pdbqt,SPLIT_RPE65_STQ2/split_RPE65_1rwt_A0620_dietaryluteinligand_stq2_flex_mode_2.pdbqt,FALSE,RPE65,1rwt_A0620_dietaryluteinligand_stq2,1,STQ2,2,2,beta.O3,Ligand.Internal.Energy,0
